0.0845 	INFO 	Loaded SoundDevice with PortAudio V19.6.0-devel, revision 396fe4b6699ae929d3a685b3ef8a7e97396139a4
0.0846 	INFO 	sound is using audioLib: sounddevice
0.4619 	INFO 	Loaded monitor calibration from ['2018_01_10 10:27']
33.3345 	WARNING 	Monitor specification not found. Creating a temporary one...
33.3362 	WARNING 	Requested an unavailable screen number - using first available.
33.3364 	WARNING 	User requested fullscreen with size [800 800], but screen is actually [1680, 1050]. Using actual size
33.9966 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FC4B23FA58>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=1, size=array([1680, 1050]), stereo=False, units='height', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
33.9967 	EXP 	window1: recordFrameIntervals = True
34.0898 	EXP 	Created stim ᚼ = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='FreeMono', fontFiles=[], height=0.25, italic=False, name='stim ᚼ', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='ᚼ', units='height', win=Window(...), wrapWidth=1)
34.0980 	EXP 	Created stim ᚢ = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='FreeMono', fontFiles=[], height=0.25, italic=False, name='stim ᚢ', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='ᚢ', units='height', win=Window(...), wrapWidth=1)
34.1059 	EXP 	Created stim ᚻ = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='FreeMono', fontFiles=[], height=0.25, italic=False, name='stim ᚻ', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='ᚻ', units='height', win=Window(...), wrapWidth=1)
